"100","0",,"Serere","Serere","12","12","0000-00-00 00:00:00","system"
"101","0",,"Agago","Agago","10","10","0000-00-00 00:00:00","system"
"102","0",,"Alebtong","Alebtong","10","10","0000-00-00 00:00:00","system"
"103","0",,"Amudat","Amudat","12","12","0000-00-00 00:00:00","system"
"104","0",,"Kole","Kole","10","10","0000-00-00 00:00:00","system"
"105","0",,"Napak","Napak","12","12","0000-00-00 00:00:00","system"
"106","0",,"Nwoya","Nwoya","10","10","0000-00-00 00:00:00","system"
"107","0",,"Otuke","Otuke","10","10","0000-00-00 00:00:00","system"
"108","0",,"Zombo","Zombo","14","14","0000-00-00 00:00:00","system"
"109","0",,"Buhweju","Buhweju","13","13","0000-00-00 00:00:00","system"
"110","0",,"Kiryandongo","Kiryandongo","11","11","0000-00-00 00:00:00","system"
"111","0",,"Mitooma","Mitooma","13","13","0000-00-00 00:00:00","system"
"112","0",,"Ntoroko","Ntoroko","11","11","0000-00-00 00:00:00","system"
"113","0",,"Rubirizi","Rubirizi","13","13","0000-00-00 00:00:00","system"
"114","0",,"Sheema","Sheema","13","13","0000-00-00 00:00:00","system"
